champion,lane,matchID,platformID,queue,region,role,season,timestamp
79,JUNGLE,2413317998,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1485902855281
19,JUNGLE,2409674662,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1485488860643
91,MID,2409609168,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485486567153
238,MID,2409621354,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485483494883
79,MID,2409546141,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485481032423
105,MID,2409549765,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485478309237
55,MID,2409473580,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485475280671
202,BOTTOM,2409098015,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485466110338
19,JUNGLE,2409104031,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1485463361860
75,MID,2409069673,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485459790039
91,MID,2408679535,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485393860071
